date,eta,eto,eta_eto,fieldstat,irrigation_applied_inches,irrigation_applied_hours,irrigation_recommendation_inches,irrigation_recommendation_hours,gapped,actual_precip_in
8/21/2021,0.201968504,0.201968504,1,2.03,0,0,0,,TRUE,0
8/22/2021,0.208267717,0.208267717,1,2.03,0,0,0,,TRUE,0
8/23/2021,0.10984252,0.217322835,0.505434783,1.02,0,0,0,,FALSE,0
8/24/2021,0.065748031,0.225590551,0.393271681,0.8,0,0,0,,FALSE,0
8/25/2021,0.060629921,0.22007874,0.283478177,0.57,0,0,0,,FALSE,0
8/26/2021,0.146580946,0.230314961,0.636436928,1.29,0,0,0,,TRUE,0
8/27/2021,0.080314961,0.240551181,0.47795405,0.97,0,0,0,,FALSE,0
8/28/2021,0.095275591,0.232283465,0.383499815,0.78,0,0,0,,FALSE,0
8/29/2021,0.077165354,0.282677165,0.352311756,0.71,0,0,0,,FALSE,0
8/30/2021,0.087007874,0.276377953,0.318396373,0.65,0,0,0,,FALSE,0
8/31/2021,0.096850394,0.277952756,0.363318205,0.74,0,0,0,,FALSE,0
9/1/2021,0.122834646,0.232283465,0.477472349,0.97,0,0,0.706029765,,FALSE,0
9/2/2021,0.095275591,0.205905512,0.511124929,1.04,0,0,0.706029765,0,FALSE,0
9/3/2021,0.108267717,0.207480315,0.512553635,1.04,0,0,0.706029765,0,FALSE,0
9/4/2021,0.134645669,0.213779528,0.59050554,1.2,0,0,0.706029765,0,FALSE,0
9/5/2021,0.160629921,0.221653543,0.688468112,1.4,0,0,0.746317152,0,FALSE,0
9/6/2021,0.107752463,0.234251969,0.459985306,0.93,0,0,0.746317152,0,TRUE,0
9/7/2021,0.172440945,0.297244094,0.554367499,1.12,0,0,0.818056236,0,FALSE,0
9/8/2021,0.129118724,0.25984252,0.496911452,1.01,0,0,0.818056236,0,FALSE,0
9/9/2021,0.159055118,0.285433071,0.559893275,1.13,0,0,0.818056236,0,FALSE,0.015748031
9/10/2021,0.114709446,0.230314961,0.498054687,1.01,0,0,0.818056236,0,TRUE,0
9/11/2021,0.112670247,0.227165354,0.495983409,1.01,0,0,0.818056236,0,TRUE,0
9/12/2021,0.128570372,0.23976378,0.536237677,1.09,0,0,0.924317315,,TRUE,0
9/13/2021,0.133070866,0.211811024,0.598430369,1.21,0,0,0.924317315,0,FALSE,0
9/14/2021,0.139370079,0.226377953,0.645872265,1.31,0,0,0.877658904,0,FALSE,0
9/15/2021,0.118110236,0.227559055,0.589801678,1.2,0,0,0.877658904,0,FALSE,0
9/16/2021,0.119685039,0.194488189,0.595665573,1.21,0,0,0.877658904,0,FALSE,0
9/17/2021,0.11496063,0.194094488,0.627174586,1.27,0,0,0.877658904,0,FALSE,0
9/18/2021,0.119685039,0.196456693,0.630314906,1.28,0,0,0.877658904,0,FALSE,0
9/19/2021,0.101574803,0.181102362,0.598581704,1.21,0,0,0.804143336,0,FALSE,0
9/20/2021,0.133070866,0.231889764,0.559338139,1.13,0,0,0.804143336,0,FALSE,0
9/21/2021,0.113385827,0.176377953,0.539231861,1.09,0,0,0.798451361,0,FALSE,0
9/22/2021,0.111417323,0.227559055,0.525839621,1.07,0,0,0.798451361,0,FALSE,0
9/23/2021,0.139370079,0.207086614,0.563171283,1.14,0,0,0.798451361,0,FALSE,0
9/24/2021,0.111417323,0.201968504,0.584562625,1.18,0,0,0.798451361,0,FALSE,0
9/25/2021,0.11496063,0.204330709,0.558704828,1.13,0,0,0.798451361,0,FALSE,0
9/26/2021,0.1,0.194094488,0.536614381,1.09,0,0,0.823622047,,FALSE,0
9/27/2021,0.098425197,0.186220472,0.523669496,1.06,0,0,0.823622047,0,FALSE,0
9/28/2021,0.11496063,0.174409449,0.578616991,1.17,0,0,0.790551181,,FALSE,0
9/29/2021,0.085433071,0.180314961,0.547997583,1.11,0,0,0.790551181,0,FALSE,0
9/30/2021,0.060629921,0.160629921,0.371889892,0.75,0,0,0.790551181,0,FALSE,0
10/1/2021,0.065748031,0.156692913,0.324210834,0.66,0,0,0.790551181,0,FALSE,0
10/2/2021,0.070472441,0.15511811,0.401024945,0.81,0,0,0.790551181,0,FALSE,0
10/3/2021,0.078740157,0.152362205,0.478928469,0.97,0,0,0.574409449,,FALSE,0
10/4/2021,0.111417323,0.15984252,0.611497525,1.24,0,0,0.574409449,0,FALSE,0
10/5/2021,0.129527559,0.193307087,0.657525224,1.33,0,0,0.601968504,,FALSE,0
10/6/2021,0.11496063,0.16496063,0.66088016,1.34,0,0,0.601968504,0,FALSE,0
10/7/2021,0.098425197,0.160629921,0.633891838,1.28,0,0,0.601968504,0,FALSE,0
10/8/2021,0.1,0.154724409,0.633623803,1.28,0,0,0.601968504,0,FALSE,0
10/9/2021,0.088582677,0.136614173,0.654134397,1.33,0,0,0.601968504,0,FALSE,0
10/10/2021,0.093700787,0.150393701,0.614024639,1.24,0,0,0.736614173,,FALSE,0
10/11/2021,0.108267717,0.201181102,0.563333362,1.14,0,0,0.736614173,0,FALSE,0
10/12/2021,0.088582677,0.168897638,0.521127319,1.06,0,0,0.692519685,,FALSE,0
10/13/2021,0.075590551,0.12480315,0.582273092,1.18,0,0,0.653149606,,FALSE,0
10/14/2021,0.083464567,0.151181102,0.568626539,1.15,0,0,0.638188976,,FALSE,0
10/15/2021,0.081889764,0.124409449,0.640136824,1.3,0,0,0.62007874,,FALSE,0
10/16/2021,0.081889764,0.127165354,0.682816439,1.38,0,0,0.613385827,,FALSE,0
10/17/2021,0.078740157,0.145669291,0.544439329,1.1,0,0,0.598425197,,FALSE,0
10/18/2021,0.081889764,0.107086614,0.689278821,1.4,0,0,0.572047244,,FALSE,0
10/19/2021,0.083464567,0.107086614,0.81217722,1.65,0,0,0.566929134,,FALSE,0
10/20/2021,0.055905512,0.073228346,0.845370105,1.71,0,0,0.547244094,,FALSE,0.031496063
10/21/2021,0.085433071,0.087795276,0.927027401,1.88,0,0,0.549212598,,FALSE,0.181102362
10/22/2021,0.096850394,0.110629921,0.95782035,1.94,0,0,0.564173228,,FALSE,0.141732283
10/23/2021,0.055905512,0.080314961,0.82065846,1.66,0,0,0.538188976,,FALSE,0.440944882
10/24/2021,0,0,0.82065846,1.66,0,0,0.459448819,,TRUE,3.299212598
10/25/2021,0.103351521,0.119291339,0.86637909,1.76,0,0,0.480910577,,TRUE,0.37007874
10/26/2021,0.044756779,0.053543307,0.83589867,1.69,0,0,0.442202789,,TRUE,0
10/27/2021,0.080786934,0.096062992,0.84097874,1.7,0,0,0.467084211,0,TRUE,0
10/28/2021,0.086777781,0.102362205,0.847752167,1.72,0,0,0.468428921,,TRUE,0
10/29/2021,0.042408476,0.050393701,0.841543192,1.71,0,0,0.413987003,,TRUE,0
10/30/2021,0.082018071,0.097244094,0.8434247,1.71,0,0,0.440099563,,TRUE,0
10/31/2021,0.062819435,0.074409449,0.84424002,1.71,0,0,0.502918997,,TRUE,0
11/1/2021,0.003651088,0.004330709,0.843069304,1.71,0,0,0.403218563,0,TRUE,0.011811024
11/2/2021,0.053803007,0.063779528,0.843578008,1.71,0,0,0.412264791,0,TRUE,0
11/3/2021,0.080709399,0.095669291,0.84362911,1.71,0,0,0.412187256,0,TRUE,0.019685039
11/4/2021,0.076041116,0.09015748,0.843425474,1.71,0,0,0.401450591,0,TRUE,0
11/5/2021,0.063431867,0.07519685,0.843544197,1.71,0,0,0.422473982,0,TRUE,0
11/6/2021,0.018929676,0.022440945,0.843532927,1.71,0,0,0.359385586,0,TRUE,0
11/7/2021,0.085346347,0.101181102,0.843500866,1.71,0,0,0.381912499,0,TRUE,0
11/8/2021,0.05479598,0.06496063,0.843525997,1.71,0,0,0.433057392,0,TRUE,0.409448819
11/9/2021,0.011955401,0.014173228,0.84351993,1.71,0,0,0.391209786,0,TRUE,0.011811024
11/10/2021,0.047821357,0.056692913,0.843515598,1.71,0,0,0.358321743,0,TRUE,0
11/11/2021,0.070071979,0.083070866,0.843520508,1.71,0,0,0.352352607,0,TRUE,0
11/12/2021,0.007970255,0.009448819,0.843518679,1.71,0,0,0.296890995,0,TRUE,0
11/13/2021,0.02357866,0.027952756,0.843518262,1.71,0,0,0.301539979,0,TRUE,0
11/14/2021,0,0,0.843518262,1.71,0,0,0.216193632,0,TRUE,0
11/15/2021,0,0,0.843518262,1.71,0,0,0.161397652,0,TRUE,0
11/16/2021,0.046161039,0.054724409,0.843518262,1.71,0,0,0.19560329,0,TRUE,0
11/17/2021,,,,,,,,,,0
11/18/2021,,,,,,,,,,0
11/19/2021,0.014944221,0.017716535,0.843518262,1.71,0,0,0.08468392,,TRUE,0
11/20/2021,0.081695076,0.096850394,0.843518262,1.71,0,0,0.142800336,,TRUE,0
11/21/2021,0.073060637,0.086614173,0.843518262,1.71,0,0,0.215860972,,TRUE,0
11/22/2021,0.061769448,0.073228346,0.843518262,1.71,0,0,0.27763042,,TRUE,0
11/23/2021,0.035201943,0.041732283,0.843518262,1.71,0,0,0.266671324,,TRUE,0
11/24/2021,0.105273736,0.12480315,0.843518262,1.71,0,0,0.37194506,0,TRUE,0
11/25/2021,0.048153602,0.057086614,0.843518262,1.71,0,0,0.420098662,0,TRUE,0
11/26/2021,0.061769448,0.073228346,0.843518262,1.71,0,0,0.466923888,0,TRUE,0
11/27/2021,0.055791759,0.066141732,0.843518262,1.71,0,0,0.441020571,0,TRUE,0
11/28/2021,0.059444791,0.070472441,0.843518262,1.71,0,0,0.427404725,,TRUE,0
11/29/2021,0.053467102,0.063385827,0.843518262,1.71,0,0,0.41910238,,TRUE,0
11/30/2021,0.044832664,0.053149606,0.843518262,1.71,0,0,0.428733101,,TRUE,0
12/1/2021,0.054330709,0.056299213,0.965034965,1.96,0,0,0.377790074,,FALSE,0
12/2/2021,0.050787402,0.054330709,0.934782609,1.89,0,0,0.380423874,,FALSE,0
12/3/2021,0.039370079,0.049212598,0.8,1.62,0,0,0.358024505,,FALSE,0
12/4/2021,0.024409449,0.034251969,0.712643678,1.44,0,0,0.326642195,,FALSE,0
12/5/2021,0.021259843,0.03503937,0.606741573,1.23,0,0,0.288457246,,FALSE,0
12/6/2021,0.016535433,0.032283465,0.512195122,1.04,0,0,0.251525577,,FALSE,0.019685039
12/7/2021,0.029527559,0.047244094,0.625,1.27,0,0,0.236220472,,FALSE,0
12/8/2021,0.019685039,0.034251969,0.574712644,1.16,0,0,0.201574803,,FALSE,0.062992126
12/9/2021,0.039370079,0.055511811,0.709219858,1.44,0,0,0.19015748,,FALSE,0
12/10/2021,0.040944882,0.064566929,0.634146341,1.29,0,0,0.191732283,,FALSE,0
12/11/2021,0.032677165,0.051968504,0.628787879,1.27,0,0,0.2,,FALSE,0
12/12/2021,0.029527559,0.035826772,0.824175824,1.67,0,0,0.208267717,,FALSE,0.37007874
12/13/2021,0.018110236,0.029133858,0.621621622,1.26,0,0,0.20984252,,FALSE,1.708661417
12/14/2021,0.047637795,0.049212598,0.968,1.96,0,0,0.227952756,,FALSE,0.039370079
12/15/2021,0.036220472,0.048425197,0.74796748,1.52,0,0,0.244488189,,FALSE,0.38976378
12/16/2021,0.032677165,0.040551181,0.816517881,1.65,0,0,0.237795276,,FALSE,0
12/17/2021,0.036220472,0.047637795,0.787809249,1.6,0,0,0.233070866,,FALSE,0
12/18/2021,0.031102362,0.034251969,0.85442085,1.73,0,0,0.231496063,,FALSE,0
12/19/2021,0.016535433,0.02992126,0.731096661,1.48,0,0,0.218503937,,FALSE,0
12/20/2021,0.013081329,0.016535433,0.79110892,1.6,0,0,0.200393701,0,TRUE,0
12/21/2021,0.010916263,0.013779528,0.79220881,1.61,0,0,0.176753497,,TRUE,0.271653543
12/22/2021,0.002126102,0.002755906,0.771471464,1.56,0,0,0.142659127,,TRUE,0.24015748
12/23/2021,0.032677165,0.033070866,0.899020251,1.82,0,0,0.142659127,,FALSE,0.551181102
12/24/2021,0.046062992,0.061023622,0.856899741,1.74,0,0,0.152501647,,FALSE,0.114173228
12/25/2021,0.019685039,0.033070866,0.676228072,1.37,0,0,0.141084324,,FALSE,0.358267717
12/26/2021,0.032677165,0.035826772,0.753378607,1.53,0,0,0.157226056,,FALSE,0.149606299
12/27/2021,0.036220472,0.051968504,0.796415212,1.61,0,0,0.1803652,,FALSE,0.24015748
12/28/2021,0.022834646,0.041338583,0.614679556,1.25,0,0,0.192283583,,FALSE,0.149606299
12/29/2021,0.024409449,0.027952756,0.724198673,1.47,0,0,0.214566929,,FALSE,0.279527559
12/30/2021,0.032677165,0.047637795,0.766704353,1.55,0,0,0.214566929,0,FALSE,0
12/31/2021,0.029527559,0.047244094,0.648242504,1.31,0,0,0.198031496,,FALSE,0
1/1/2022,0.029527559,0.064173228,0.525130237,0.51,0,0,0.207874016,,FALSE,0
1/2/2022,0.040944882,0.048425197,0.628667993,0.61,0,0,0.216141732,,FALSE,0
1/3/2022,0.031102362,0.038976378,0.828615418,0.8,0,0,0.211023622,,FALSE,0.031496063
1/4/2022,0.037795276,0.044488189,0.824963989,0.8,0,0,0.225984252,,FALSE,0
1/5/2022,0.040944882,0.053149606,0.805771579,0.78,0,0,0.247399456,0,FALSE,0
1/6/2022,0.022834646,0.034251969,0.660762186,0.64,0,0,0.215989654,0,FALSE,0
1/7/2022,0.034645669,0.040551181,0.75770315,0.73,0,0,0.222682568,0,FALSE,0
1/8/2022,0.040944882,0.053149606,0.813701742,0.79,0,0,0.214425806,0,FALSE,0
1/9/2022,0.032677165,0.045669291,0.737958976,0.71,0,0,0.197834754,0,FALSE,0
1/10/2022,0.044488189,0.066535433,0.668650797,0.65,0,0,0.231219021,0,FALSE,0
1/11/2022,0.050787402,0.053149606,0.811510693,0.79,0,0,0.2350198,0,FALSE,0
