date,eta,eto,eta_eto,fieldstat,irrigation_applied_inches,irrigation_applied_hours,irrigation_recommendation_inches,irrigation_recommendation_hours,gapped,actual_precip_in
2022-07-27,0.10984251968503937,0.28462659172538607,0.3859179812370372,0.45,0.0,0.0,0.0,0.0,false,0
2022-07-28,0.08031496062992127,0.28590013750325466,0.28091962924994035,0.33,0.0,0.0,0.0,0.0,false,0
2022-07-29,0.08188976377952757,0.2810533022711707,0.29136737806594876,0.34,0.0,0.0,0.0,0.0,false,0
2022-07-30,0.08700787401574804,0.2621923425939978,0.33184750231427945,0.38,0.0,0.0,0.0,0.0,false,0
2022-07-31,0.08031496062992127,0.24602064965012385,0.3264561765207128,0.38,0.0,0.0,0.0,0.0,false,0
2022-08-01,0.02132171587393517,0.06735505642400307,0.31655701896698035,0.37,0.0,0.0,0.0,0.0,true,0
2022-08-02,0.10669291338582677,0.28562616577671185,0.3735404041002109,0.43,0.0,0.0,0.0,0.0,false,0
2022-08-03,0.21653543307086615,0.281216381157245,0.7699958024486068,0.89,0.0,0.0,0.0,0.0,false,0
2022-08-04,0.24921259842519686,0.28194712980254216,0.8838983344137232,1.02,0.0,0.0,0.0,0.0,false,0
2022-08-05,0.2346456692913386,0.25422075140486616,0.9229996685740546,1.07,0.0,0.0,0.0,0.0,false,0
2022-08-06,0.2279527559055118,0.27061748233026783,0.8423430516854525,0.97,0.0,0.0,0.0,0.0,false,0
2022-08-07,0.22952755905511812,0.2704873827627856,0.8485702982176112,0.98,0.0,0.0,0.0,0.0,false,0
2022-08-08,0.2279527559055118,0.2679872090698336,0.8506105821121882,0.98,0.0,0.0,0.0,0.0,false,0
2022-08-09,0.231496062992126,0.26719483692557583,0.8663942224924304,1.0,0.0,0.0,0.0,0.0,false,0
2022-08-10,0.22125984251968506,0.2644448929280976,0.8366954644869828,0.97,0.0,0.0,0.0,0.0,false,0
2022-08-11,0.21653543307086615,0.26589287816180823,0.8143709397853606,0.94,0.0,0.0,0.0,0.0,false,0
2022-08-12,0.21653543307086615,0.26385811391211866,0.8206510304359489,0.95,0.0,0.0,0.0,0.0,false,0
