date,eta,eto,eta_eto,fieldstat,irrigation_applied_inches,irrigation_applied_hours,irrigation_recommendation_inches,irrigation_recommendation_hours,gapped,actual_precip_in
8/21/2021,0.201968504,0.201968504,1,2.03,0,0,0,,TRUE,0
8/22/2021,0.208267717,0.208267717,1,2.03,0,0,0,,TRUE,0
8/23/2021,0.034645669,0.217716535,0.159132007,0.32,0,0,0,,FALSE,0
8/24/2021,0.10511811,0.225590551,0.340189158,0.69,0,0,0,,FALSE,0
8/25/2021,0.10511811,0.22007874,0.473550109,0.96,0,0,0,,FALSE,0
8/26/2021,0.136939346,0.230314961,0.594574255,1.2,0,0,0,,TRUE,0
8/27/2021,0.129527559,0.240944882,0.57434157,1.16,0,0,0,,FALSE,0
8/28/2021,0.147637795,0.232283465,0.599419119,1.21,0,0,0,,FALSE,0
8/29/2021,0.127952756,0.283070866,0.551603409,1.12,0,0,0,,FALSE,0
8/30/2021,0.134645669,0.277165354,0.49288536,1,0,0,0,,FALSE,0
8/31/2021,0.133070866,0.277952756,0.511390276,1.04,0,0,0,,FALSE,0
9/1/2021,0.159055118,0.232283465,0.622195327,1.26,0,0,0.96882911,,FALSE,0
9/2/2021,0.137795276,0.205511811,0.696240098,1.41,0,0,0.96882911,0,FALSE,0
9/3/2021,0.150787402,0.207480315,0.718718885,1.46,0,0,0.96882911,0,FALSE,0
9/4/2021,0.154330709,0.213779528,0.731890157,1.48,0,0,0.96882911,0,FALSE,0
9/5/2021,0.129527559,0.221653543,0.649695016,1.32,0,0,1.010038294,0,FALSE,0
9/6/2021,0.148014286,0.234251969,0.631859303,1.28,0,0,1.010038294,0,TRUE,0
9/7/2021,0.116535433,0.297244094,0.523585771,1.06,0,0,0.996045782,,FALSE,0
9/8/2021,0.12480315,0.263779528,0.457056603,0.93,0,0,0.996045782,0,FALSE,0
9/9/2021,0.113385827,0.286220472,0.458777778,0.93,0,0,0.996045782,0,FALSE,0.015748031
9/10/2021,0.116535433,0.239370079,0.474360444,0.96,0,0,0.996045782,0,FALSE,0
9/11/2021,0.140944882,0.215748031,0.594718118,1.21,0,0,0.996045782,0,FALSE,0
9/12/2021,0.133070866,0.228346457,0.627884248,1.27,0,0,0.893289876,,FALSE,0
9/13/2021,0.142519685,0.211811024,0.643868853,1.3,0,0,0.893289876,0,FALSE,0
9/14/2021,0.142519685,0.226377953,0.673196896,1.36,0,0,0.913779528,,FALSE,0
9/15/2021,0.134645669,0.227559055,0.636791016,1.29,0,0,0.913779528,0,FALSE,0
9/16/2021,0.134645669,0.194488189,0.670708431,1.36,0,0,0.913779528,0,FALSE,0
9/17/2021,0.121259843,0.194094488,0.679061776,1.38,0,0,0.913779528,0,FALSE,0
9/18/2021,0.155905512,0.200393701,0.73942583,1.5,0,0,0.913779528,0,FALSE,0
9/19/2021,0.119685039,0.181102362,0.728624709,1.48,0,0,0.951181102,,FALSE,0
9/20/2021,0.116535433,0.231889764,0.550275258,1.12,0,0,0.951181102,0,FALSE,0
9/21/2021,0.129527559,0.176377953,0.638084437,1.29,0,0,0.901869634,0,FALSE,0
9/22/2021,0.096850394,0.227559055,0.533556997,1.08,0,0,0.901869634,0,FALSE,0
9/23/2021,0.1,0.207086614,0.422530331,0.86,0,0,0.901869634,0,FALSE,0
9/24/2021,0.1,0.201968504,0.455805968,0.92,0,0,0.901869634,0,FALSE,0
9/25/2021,0.111417323,0.204330709,0.559184189,1.13,0,0,0.901869634,0,FALSE,0
9/26/2021,0.111417323,0.194094488,0.578334491,1.17,0,0,0.765748031,,FALSE,0
9/27/2021,0.111417323,0.186220472,0.604730611,1.23,0,0,0.765748031,0,FALSE,0
9/28/2021,0.113385827,0.174409449,0.612993506,1.24,0,0,0.744488189,,FALSE,0
9/29/2021,0.085433071,0.180314961,0.520176353,1.05,0,0,0.744488189,0,FALSE,0
9/30/2021,0.1,0.161023622,0.503459634,1.02,0,0,0.744488189,0,FALSE,0
10/1/2021,0.098425197,0.156299213,0.599417824,1.21,0,0,0.744488189,0,FALSE,0
10/2/2021,0.101574803,0.15511811,0.642162076,1.3,0,0,0.744488189,0,FALSE,0
10/3/2021,0.108267717,0.152362205,0.684073716,1.39,0,0,0.718503937,,FALSE,0
10/4/2021,0.10984252,0.15984252,0.726222584,1.47,0,0,0.718503937,0,FALSE,0
10/5/2021,0.101574803,0.192913386,0.631488293,1.28,0,0,0.70511811,,FALSE,0
10/6/2021,0.1,0.16496063,0.575844577,1.17,0,0,0.70511811,0,FALSE,0
10/7/2021,0.087007874,0.160629921,0.569880507,1.15,0,0,0.70511811,0,FALSE,0
10/8/2021,0.080314961,0.154724409,0.521074011,1.06,0,0,0.70511811,0,FALSE,0
10/9/2021,0.075590551,0.136614173,0.530792682,1.08,0,0,0.70511811,0,FALSE,0
10/10/2021,0.081889764,0.150787402,0.554854954,1.12,0,0,0.636220472,,FALSE,0
10/11/2021,0.1,0.201181102,0.521427607,1.06,0,0,0.636220472,0,FALSE,0
10/12/2021,0.074015748,0.168897638,0.461110952,0.93,0,0,0.598818898,,FALSE,0
10/13/2021,0.060629921,0.12480315,0.445831832,0.9,0,0,0.559448819,,FALSE,0
10/14/2021,0.070472441,0.150393701,0.477942032,0.97,0,0,0.542913386,,FALSE,0
10/15/2021,0.068897638,0.124409449,0.518153552,1.05,0,0,0.531496063,,FALSE,0
10/16/2021,0.068897638,0.126771654,0.558196696,1.13,0,0,0.52480315,,FALSE,0
10/17/2021,0.065748031,0.146456693,0.507016976,1.03,0,0,0.508661417,,FALSE,0
10/18/2021,0.074015748,0.107086614,0.569461988,1.15,0,0,0.482677165,,FALSE,0
10/19/2021,0.075590551,0.106299213,0.705625956,1.43,0,0,0.484251969,,FALSE,0
10/20/2021,0.062204724,0.073228346,0.839129333,1.7,0,0,0.485826772,,FALSE,0.031496063
10/21/2021,0.09015748,0.087007874,0.994354324,2.02,0,0,0.505511811,,FALSE,0.181102362
10/22/2021,0.101574803,0.110629921,1.008916633,2.04,0,0,0.538188976,,FALSE,0.141732283
10/23/2021,0.059055118,0.080314961,0.853127653,1.73,0,0,0.528346457,,FALSE,0.440944882
10/24/2021,0,0,0.853127653,1.73,0,0,0.462598425,,TRUE,3.299212598
10/25/2021,0.107965498,0.119291339,0.905057313,1.83,0,0,0.496548176,,TRUE,0.37007874
10/26/2021,0.046606104,0.053543307,0.870437539,1.76,0,6.52,0.467563729,,TRUE,0
10/27/2021,0.084171114,0.096062992,0.876207502,1.78,0,0,0.489530119,,TRUE,0
10/28/2021,0.090478033,0.102362205,0.883900785,1.79,0,0,0.489850671,,TRUE,0
10/29/2021,0.044187646,0.050393701,0.876848609,1.78,0,0,0.432463515,,TRUE,0
10/30/2021,0.085476162,0.097244094,0.878985632,1.78,0,0,0.458884558,,TRUE,0
10/31/2021,0.065473743,0.074409449,0.879911675,1.78,0,0,0.524358301,,TRUE,0
11/1/2021,0.003804883,0.004330709,0.878581972,1.78,0,0,0.420197685,,TRUE,0.011811024
11/2/2021,0.056072394,0.063779528,0.879159759,1.78,0,0,0.429663975,,TRUE,0
11/3/2021,0.084114144,0.095669291,0.879217802,1.78,0,0,0.429607005,,TRUE,0.019685039
11/4/2021,0.079247209,0.09015748,0.878986511,1.78,0,0,0.418376181,,TRUE,0
11/5/2021,0.066107157,0.07519685,0.879121358,1.78,0,0,0.440295692,,TRUE,0
11/6/2021,0.019728027,0.022440945,0.879108557,1.78,0,0,0.374547556,,TRUE,0
11/7/2021,0.088945488,0.101181102,0.879072142,1.78,0,0,0.398019302,,TRUE,0
11/8/2021,0.057106934,0.06496063,0.879100685,1.78,0,0,0.451321354,,TRUE,0.409448819
11/9/2021,0.012459597,0.014173228,0.879093795,1.78,0,0,0.407708557,,TRUE,0.011811024
11/10/2021,0.049838109,0.056692913,0.879088874,1.78,0,0,0.373432522,,TRUE,0
11/11/2021,0.073027137,0.083070866,0.879094451,1.78,0,0,0.367212451,,TRUE,0
11/12/2021,0.008306385,0.009448819,0.879092373,1.78,0,0,0.309411678,,TRUE,0
11/13/2021,0.024573041,0.027952756,0.8790919,1.78,0,0,0.314256693,,TRUE,0
11/14/2021,0,0,0.8790919,1.78,0,0,0.225311204,,TRUE,0
11/15/2021,0,0,0.8790919,1.78,0,0,0.16820427,,TRUE,0
11/16/2021,0.048107785,0.054724409,0.8790919,1.78,0,0,0.203852458,,TRUE,0
11/17/2021,0.058836859,0.066929134,0.8790919,1.78,0,0,0.212851208,,TRUE,0
11/18/2021,0.015574463,0.017716535,0.8790919,1.78,0,0,0.155398533,,TRUE,0
11/19/2021,0.015574463,0.017716535,0.8790919,1.78,0,0,0.162666611,,TRUE,0
11/20/2021,0.085140397,0.096850394,0.8790919,1.78,0,0,0.223233967,,TRUE,0
11/21/2021,0.076141818,0.086614173,0.8790919,1.78,0,0,0.299375785,,TRUE,0
11/22/2021,0.064374446,0.073228346,0.8790919,1.78,0,0,0.363750231,,TRUE,0
11/23/2021,0.036686512,0.041732283,0.8790919,1.78,0,0,0.352328958,,TRUE,0
11/24/2021,0.109713438,0.12480315,0.8790919,1.78,0,0,0.403205537,,TRUE,0
11/25/2021,0.05018438,0.057086614,0.8790919,1.78,0,0,0.437815454,,TRUE,0
11/26/2021,0.064374446,0.073228346,0.8790919,1.78,0,0,0.486615437,,TRUE,0
11/27/2021,0.058144661,0.066141732,0.8790919,1.78,0,0,0.459619702,,TRUE,0
11/28/2021,0.061951752,0.070472441,0.8790919,1.78,0,0,0.445429636,,TRUE,0
11/29/2021,0.055721967,0.063385827,0.8790919,1.78,0,0,0.436777156,,TRUE,0
11/30/2021,0.046723388,0.053149606,0.8790919,1.78,0,0,0.446814032,,TRUE,0
12/1/2021,0.049212598,0.056299213,0.874125874,1.77,0,0,0.386313193,,FALSE,0
12/2/2021,0.046062992,0.054330709,0.847826087,1.72,0,0,0.382191805,,FALSE,0
12/3/2021,0.032677165,0.048818898,0.669354839,1.36,0,0,0.350494524,,FALSE,0
12/4/2021,0.019685039,0.034251969,0.574712644,1.16,0,0,0.312034902,,FALSE,0
12/5/2021,0.018110236,0.03503937,0.516853933,1.05,0,0,0.268193387,,FALSE,0
12/6/2021,0.01496063,0.032283465,0.463414634,0.94,0,0,0.22743205,,FALSE,0.019685039
12/7/2021,0.021259843,0.046850394,0.453781513,0.92,0,0,0.201968504,,FALSE,0
12/8/2021,0.011417323,0.034251969,0.333333333,0.68,0,0,0.164173228,,FALSE,0.062992126
12/9/2021,0.024409449,0.055511811,0.439716312,0.89,0,0,0.142519685,,FALSE,0
12/10/2021,0.026377953,0.064566929,0.408536585,0.83,0,0,0.136220472,,FALSE,0
12/11/2021,0.018110236,0.051968504,0.348484848,0.71,0,0,0.134645669,,FALSE,0
12/12/2021,0.021259843,0.035433071,0.6,1.22,0,0,0.137795276,,FALSE,0.37007874
12/13/2021,0.01496063,0.029133858,0.513513514,1.04,0,0,0.137795276,,FALSE,1.708661417
12/14/2021,0.039370079,0.049606299,0.793650794,1.61,0,0,0.155905512,,FALSE,0.039370079
12/15/2021,0.021259843,0.048425197,0.43902439,0.89,0,0,0.165748031,,FALSE,0.38976378
12/16/2021,0.029527559,0.040551181,0.601069596,1.22,0,0,0.170866142,,FALSE,0
12/17/2021,0.034645669,0.047244094,0.710784992,1.44,0,0,0.179133858,,FALSE,0
12/18/2021,0.018110236,0.034251969,0.620700457,1.26,0,0,0.179133858,,FALSE,0
12/19/2021,0.012992126,0.02992126,0.539255822,1.09,0,0,0.170866142,,FALSE,0
12/20/2021,0.010311172,0.016535433,0.623580424,1.26,0,0,0.155905512,0,TRUE,0
12/21/2021,0.008192098,0.013779528,0.594512234,1.2,0,0,0.135038703,,TRUE,0.271653543
12/22/2021,0.001614362,0.002755906,0.585782826,1.19,0,0,0.115393223,,TRUE,0.24015748
12/23/2021,0.022834646,0.033070866,0.647014364,1.31,0,0,0.108700309,,FALSE,0.551181102
12/24/2021,0.040944882,0.061023622,0.692764068,1.4,0,0,0.114999522,,FALSE,0.114173228
12/25/2021,0.018110236,0.033070866,0.627676586,1.27,0,0,0.114999522,,FALSE,0.358267717
12/26/2021,0.027952756,0.035826772,0.661924807,1.34,0,0,0.129960152,,FALSE,0.149606299
12/27/2021,0.032677165,0.051968504,0.704112015,1.43,0,0,0.152326145,,FALSE,0.24015748
12/28/2021,0.019685039,0.041338583,0.545658859,1.11,0,0,0.163819087,,FALSE,0.149606299
12/29/2021,0.016535433,0.027952756,0.558071541,1.13,0,0,0.178740157,,FALSE,0.279527559
12/30/2021,0.024409449,0.047637795,0.529855486,1.07,0,0,0.178740157,0,FALSE,0
12/31/2021,0.032677165,0.047244094,0.57561039,1.17,0,0,0.172047244,,FALSE,0
1/1/2022,0.044488189,0.064173228,0.6894586,0.69,0,0,0.198425197,,FALSE,0
1/2/2022,0.032677165,0.048425197,0.669382491,0.67,0,0,0.203149606,,FALSE,0
1/3/2022,0.032677165,0.038976378,0.767716324,0.77,0,0,0.203149606,,FALSE,0.031496063
1/4/2022,0.031102362,0.04488189,0.766776938,0.77,0,0,0.214566929,,FALSE,0
1/5/2022,0.037795276,0.053149606,0.697507404,0.7,0,0,0.235826772,,FALSE,0
1/6/2022,0.021259843,0.033858268,0.572658401,0.58,0,0,0.232677165,,FALSE,0
1/7/2022,0.037795276,0.040551181,0.781602163,0.79,0,0,0.237795276,,FALSE,0
1/8/2022,0.040944882,0.053149606,0.848701894,0.85,0,0,0.234251969,,FALSE,0
1/9/2022,0.039370079,0.045669291,0.806870284,0.81,0,0,0.240944882,,FALSE,0
1/10/2022,0.047637795,0.066535433,0.75588934,0.76,0,0,0.255905512,,FALSE,0
