date,eta,eto,eta_eto,fieldstat,irrigation_applied_inches,irrigation_applied_hours,irrigation_recommendation_inches,irrigation_recommendation_hours,gapped,actual_precip_in
2022-07-27,0.13307086614173227,0.28882319018610436,0.46073470089429985,0.5,0.0,0.0,0.0,0.0,false,0
2022-07-28,0.11496062992125984,0.2899169601308246,0.39652950924079794,0.43,0.0,0.0,0.0,0.0,false,0
2022-07-29,0.10984251968503937,0.28356951053727847,0.3873565937216629,0.42,0.0,0.0,0.0,0.0,false,0
2022-07-30,0.11496062992125984,0.2637395203879593,0.4358870060586803,0.47,0.0,0.0,0.0,0.0,false,0
2022-07-31,0.10826771653543307,0.24769847915744128,0.4370947972862454,0.47,0.0,0.0,0.0,0.0,false,0
2022-08-01,0.028207091786681623,0.06714171016054031,0.4201127990221962,0.45,0.0,0.0,0.0,0.0,true,0
2022-08-02,0.11496062992125984,0.2874503338380067,0.3999321496215279,0.43,0.0,0.0,0.0,0.0,false,0
2022-08-03,0.10511811023622047,0.28538789503814843,0.36833415874968733,0.4,0.0,0.0,0.0,0.0,false,0
2022-08-04,0.11141732283464569,0.28696277907374756,0.3882640222340897,0.42,0.0,0.0,0.0,0.0,false,0
2022-08-05,0.1279527559055118,0.2597556080670894,0.492589002630751,0.53,0.0,0.0,0.0,0.0,false,0
2022-08-06,0.2,0.27442265583161846,0.7288028001693743,0.79,0.0,0.0,0.0,0.0,false,0
2022-08-07,0.2248031496062992,0.27361294446328793,0.8216100669040614,0.89,0.0,0.0,0.0,0.0,false,0
2022-08-08,0.2393700787401575,0.2702732428329041,0.8856595504281849,0.96,0.0,0.0,0.0,0.0,false,0
2022-08-09,0.2409448818897638,0.2695200228134417,0.8939776695423581,0.96,0.0,0.0,0.0,0.0,false,0
2022-08-10,0.2346456692913386,0.2659191553831809,0.8823947599909521,0.95,0.0,0.0,0.0,0.0,false,0
2022-08-11,0.22637795275590553,0.2672226102938286,0.8471511916861686,0.91,0.0,0.0,0.0,0.0,false,0
2022-08-12,0.2248031496062992,0.2651845772227696,0.8477233177005322,0.92,0.0,0.0,0.0,0.0,false,0
2022-08-13,0.22637795275590553,0.2671057063193355,0.8475219637773731,0.91,0.0,0.0,0.0,0.0,false,0
2022-08-14,0.22125984251968506,0.26788650673655817,0.8259462009308063,0.89,0.0,0.0,1.6137795275590552,0.0,false,0
2022-08-15,0.2279527559055118,0.2636740492241499,0.8645248046831059,0.93,0.0,0.0,1.6023622047244093,0.0,false,0
2022-08-16,0.21968503937007874,0.2599646460589753,0.8450573672246235,0.91,0.0,0.0,1.5811023622047247,0.0,false,0
2022-08-17,0.07999329834246716,0.09464689790031529,0.8451761242795119,0.91,0.0,0.0,1.4299212598425197,0.0,true,0
2022-08-18,0.2248031496062992,0.26227684769071063,0.8571215934065131,0.93,0.0,0.0,1.424875188106247,0.0,false,0
2022-08-19,0.2362204724409449,0.2714859311353608,0.8701020765719429,0.94,0.0,0.0,1.4032515185794152,0.0,false,0
2022-08-20,0.23307086614173228,0.2699870153251341,0.8632669458605436,0.93,0.0,0.0,1.4429854243267193,0.0,false,0
2022-08-21,0.22322834645669293,0.26493806977350637,0.8425680259825596,0.91,0.0,0.0,1.4449539282637271,0.0,false,0
2022-08-22,0.21968503937007874,0.26288235151959166,0.8356781583099406,0.9,0.0,0.0,1.436686211728294,0.0,false,0
2022-08-23,0.22637795275590553,0.2647541282964261,0.855049755834011,0.92,0.0,0.0,1.4433791251141208,0.0,false,0
